Paper Number,biblography title,Bibliography Type,Query Number,Search It Title,Search It Type,Jaccard Score,Match,Notesa
14,Introduction to International Disaster Management,Ebook,14,Introduction to International Disaster Management,book,0,Y,
49,The Ethics of Corporate Censorship of Information-Sharing Behavior: A Nonconsequentialist Perspective,Article,49,The Ethics of Corporate Censorship of Information-Sharing Behavior: A Nonconsequentialist Perspective,article,0,Y,
109,The Evolution of Human Trafficking Messaging in the United States and Its Effect on Public Opinion,Article,171,The evolution of human trafficking messaging in the United States and its effect on public opinion,article,0,MM,
109,The Evolution of Human Trafficking Messaging in the United States and Its Effect on Public Opinion,Article,173,The evolution of human trafficking messaging in the United States and its effect on public opinion,article,0,MM,
137,Farmers' Prioritization of Climate-Smart Agriculture (CSA) Technologies,Article,137,Farmers' prioritization of climate-smart agriculture (CSA) technologies,article,0,Y,
139,"Transnational mobility, strong states and contested sovereignty: Learning from the China–Taiwan context",Article,139,"Transnational mobility, strong states and contested sovereignty: Learning from the China–Taiwan context",article,0,Y,
143,Globalization and inequality,Article,143,Globalization and inequality,article,0,Y,
161,"The Smuggling of Art, and the Art of Smuggling: Uncovering the Illicit Trade in Cultural Property and Antiques",Article,161,"The Smuggling of Art, and the Art of Smuggling: Uncovering the Illicit Trade in Cultural Property and Antiques",book,0,?,
161,The Medici Conspiracy the Illicit Journey of Looted Antiques from Italy's Tomb Raiders to the World's Greatest Museums,Ebook,161,The Medici conspiracy the illicit journey of looted antiques from Italy's tomb raiders to the world's greatest museums,book,0,Y,
171,From Human Trafficking to Human Rights: Reframing Contemporary Slavery,Print Book,119,From Human Trafficking to Human Rights: Reframing Contemporary Slavery,book,0,MM,
185,Racial Rioting in the 1960S: An Event History Analysis of Local Conditions,Article,183,Racial Rioting in the 1960S: An Event History Analysis of Local Conditions,article,0,MM,
91,"THE HOLOCAUST AS A PARADIGM FOR THE CONGO ATROCITIES: ADAM HOCHSCHILD'S ""KING LEOPOLD'S GHOST",Article,21,"THE HOLOCAUST AS A PARADIGM FOR THE CONGO ATROCITIES: ADAM HOCHSCHILD'S ""KING LEOPOLD'S GHOST""",article,0.011363636,MM,
161,"The Smuggling of Art, and the Art of Smuggling: Uncovering the Illicit Trade in Cultural Property and Antiques",Article,161,"The smuggling of art, and the art of smuggling : uncovering the illicit trade in cultural property and antiques",pbook,0.113207547,?,
45,Race for Empire: Koreans as Japanese and Japanese as Americans during World War II,Print Book,45,Race for empire : Koreans as Japanese and Japanese as Americans during World War II,book,0.166666667,Y,
99,"Causes, Consequences, and Impact of the Great Leap Forward in China",Article,99,"Causes, Consequences and Impact of the Great Leap Forward in China",article,0.194029851,Y,
171,From Human Trafficking to Human Rights: Reframing Contemporary Slavery,Print Book,119,From Human Trafficking to Human Rights : Reframing Contemporary Slavery.,book,0.197183099,MM,
137,"Sustainable Agriculture: Technology, Planning and Management",Ebook,137,"Sustainable agriculture technology, planning and management",book,0.216666667,?,
143,Globalization and inequality,Article,143,INTRODUCTION: Globalization and Inequality,book_chapter,0.388888889,?,
143,Globalization and inequality,Article,143,Globalisation and Inequality,article,0.482758621,N,
87,Venezuela: What Everyone Needs to Know,Print Book,2,Nuclear Energy: What Everyone Needs to Know,book,0.5,N,
143,Globalization and inequality,Article,143,Globalization and inequality: Channels and evidence,dissertation,0.511111111,N,
25,Climate Change and the Law,Article,165,Climate change and the developing world,article,0.527777778,N,
45,Race for Empire: Koreans as Japanese and Japanese as Americans during World War II,Print Book,45,"Right to Kill, Right to Make Live: Koreans as Japanese and Japanese as Americans During WWII",article,0.553398058,N,
37,Globalization and Poverty,Print Book,143,Globalization and inequality,article,0.586206897,N,
87,Venezuela: What Everyone Needs to Know,Print Book,109,The pornography industry : what everyone needs to know,pbook,0.596491228,,
7,The Industrial Revolution in the Anthropocene,Article,7,From the industrial revolution to Trump,article,0.615384615,,
59,The Industrial Revolution in the Anthropocene,Article,7,From the industrial revolution to Trump,article,0.615384615,,
8,Sex trafficking of women and girls,Article,109,Sex Trafficking of Minors,article,0.617647059,,
143,Globalization and inequality,Article,143,Globalization and Inequality: Explaining American Exceptionalism,article,0.620689655,,
145,"The Industrial Revolution in Europe, 1815-1914",Print Book,7,From the industrial revolution to Trump,article,0.622641509,,
171,From Human Trafficking to Human Rights: Reframing Contemporary Slavery,Print Book,8,Human Trafficking and Contemporary Slavery,article,0.625,,
25,"Place, Memory, and Climate Change",Article,59,The media and climate change,article,0.638888889,,
187,Globalization and its discontents,Print Book,143,Globalization and inequality,article,0.638888889,,
143,Globalization and inequality,Article,143,"Phases of Globalization, Wages and Inequality",article,0.644444444,,
143,Globalization and inequality,Article,143,GLOBALIZATION AND INEQUALITY: THE NEGATIVE CONSEQUENCES FOR HUMANITY,article,0.64516129,,
143,Globalization and inequality,Article,143,Is Globalization Reducing Poverty and Inequality?,article,0.645833333,,
143,Globalization and inequality,Article,143,WORLD INEQUALITY AND GLOBALIZATION,article,0.648648649,,
167,A History of Anti-Hispanic Bigotry in the United States,Newspaper Article,49,A History of Censorship in the United States,article,0.661538462,,
25,Climate Change and the Law,Article,165,"Climate change, public health, and the law",pbook,0.666666667,,
59,Energy and the English Industrial Revolution,Ebook,7,The de-industrial revolution,article,0.666666667,,
109,Responding to Human Trafficking. Responding to Human Trafficking,Ebook,119,Human trafficking,pbook,0.666666667,,
109,Responding to Human Trafficking. Responding to Human Trafficking,Ebook,119,Human trafficking,book,0.666666667,,
109,Responding to Human Trafficking. Responding to Human Trafficking,Ebook,119,Human trafficking,book,0.666666667,,
109,Responding to Human Trafficking. Responding to Human Trafficking,Ebook,119,Human Trafficking,book_chapter,0.666666667,,
109,Responding to Human Trafficking. Responding to Human Trafficking,Ebook,8,Human trafficking,book,0.666666667,,
189,PURSUING ‘PEACE’ IN ISRAEL/PALESTINE,Article,189,Israel/Palestine,pbook,0.666666667,,
7,The Industrial Revolution in the Anthropocene,Article,7,The de-industrial revolution,article,0.673913043,,
59,The Industrial Revolution in the Anthropocene,Article,7,The de-industrial revolution,article,0.673913043,,
129,Occupying Power: Sex Workers and Servicemen in Postwar Japan,Ebook,19,Base Cultures: Sex Workers and Servicemen in Occupied Japan,article,0.679012346,,
59,Energy and the English Industrial Revolution,Ebook,7,Fourth Industrial Revolution and India,book_chapter,0.679245283,,
37,Globalization and Poverty,Print Book,9,Globalization Cycles,article,0.68,,
145,"The Industrial Revolution in Europe, 1815-1914",Print Book,7,The de-industrial revolution,article,0.680851064,,
209,The Kashmir Conflict,Article,209,The Kashmir Story,article,0.684210526,,
209,The Kashmir Conflict,Article,209,The Kashmir Story,article,0.684210526,,
7,The Industrial Revolution in the Anthropocene,Article,7,"Human and Nature Revisited: The Industrial Revolution, Modern Economics and the Anthropocene",book_chapter,0.684210526,,
59,The Industrial Revolution in the Anthropocene,Article,7,"Human and Nature Revisited: The Industrial Revolution, Modern Economics and the Anthropocene",book_chapter,0.684210526,,
7,The Industrial Revolution in the Anthropocene,Article,7,Fourth Industrial Revolution and India,book_chapter,0.685185185,,
59,The Industrial Revolution in the Anthropocene,Article,7,Fourth Industrial Revolution and India,book_chapter,0.685185185,,
145,"The Industrial Revolution in Europe, 1815-1914",Print Book,7,Fourth Industrial Revolution and India,book_chapter,0.690909091,,
117,Human trafficking into and within the United States: a review of the literature,Ebook,119,UNDERSTANDING HUMAN TRAFFICKING IN THE UNITED STATES,article,0.692307692,,
117,Human trafficking into and within the United States: a review of the literature,Ebook,8,UNDERSTANDING HUMAN TRAFFICKING IN THE UNITED STATES,article,0.692307692,,
117,Human trafficking into and within the United States: a review of the Literature,Ebook,119,UNDERSTANDING HUMAN TRAFFICKING IN THE UNITED STATES,article,0.692307692,,
117,Human trafficking into and within the United States: a review of the Literature,Ebook,8,UNDERSTANDING HUMAN TRAFFICKING IN THE UNITED STATES,article,0.692307692,,
10,The National Health Service: History of the National Health Service from Conception to Latest Changes,Ebook Chapter,10,The Sociology of the National Health Service,pbook,0.697674419,,
209,The Kashmir Conflict,Article,209,"The Kashmir story,",pbook,0.7,,
77,Gun Control,Ebook,65,Libertarian gun control,article,0.705882353,,
77,Gun Control,Article,65,Libertarian gun control,article,0.705882353,,
81,"Introduction: Historical Perspectives on African American Education, Civil Rights, and Black Power",Article,81,African American childhoods : historical perspectives from slavery to civil rights,pbook,0.707692308,,
59,Energy and the English Industrial Revolution,Ebook,7,From the industrial revolution to Trump,article,0.709090909,,
109,The Evolution of Human Trafficking Messaging in the United States and Its Effect on Public Opinion,Article,119,UNDERSTANDING HUMAN TRAFFICKING IN THE UNITED STATES,article,0.710280374,,
109,The Evolution of Human Trafficking Messaging in the United States and Its Effect on Public Opinion,Article,8,UNDERSTANDING HUMAN TRAFFICKING IN THE UNITED STATES,article,0.710280374,,
143,Globalization and inequality,Article,143,Globalization and wage inequality: Evidence from urban China,article,0.711864407,,
109,A Human Rights Approach to Preventing Child Sex Trafficking,Ebook Chapter,109,A Public Health Approach to Global Child Sex Trafficking,article,0.7125,,
37,Globalization and Poverty,Print Book,191,Globalization and Collective Labor Rights,article,0.714285714,,
117,Human Trafficking Is a Public Health Issue : a Paradigm Expansion in the United States,Print Book,119,UNDERSTANDING HUMAN TRAFFICKING IN THE UNITED STATES,article,0.714285714,,
117,Human Trafficking Is a Public Health Issue : a Paradigm Expansion in the United States,Print Book,8,UNDERSTANDING HUMAN TRAFFICKING IN THE UNITED STATES,article,0.714285714,,
143,Globalization and inequality,Article,9,Globalization Cycles,article,0.714285714,,
119,Prostitution and Sex Work,Ebook,8,Global perspectives on prostitution and sex trafficking,pbook,0.716981132,,
57,"Suicide in Nazi Concentration Camps, 1933-9",Article,57,Inside the trial of a Nazi concentration camp guard,article,0.71875,,
117,Human trafficking into and within the United States: a review of the literature,Ebook,109,Hidden in Plain Sight: Human Trafficking in the United States,article,0.72,,
117,Human trafficking into and within the United States: a review of the Literature,Ebook,109,Hidden in Plain Sight: Human Trafficking in the United States,article,0.72,,
37,Globalization and Poverty,Print Book,143,INTRODUCTION: Globalization and Inequality,book_chapter,0.720930233,,
109,Responding to Human Trafficking. Responding to Human Trafficking,Ebook,119,Rethinking human trafficking,article,0.720930233,,
14,International Red Cross,Reference Entry,19,International Human Rights,article,0.724137931,,
171,From Human Trafficking to Human Rights: Reframing Contemporary Slavery,Print Book,171,Toward a Sustainable Theory of Human Trafficking and Contemporary Slavery,book_chapter,0.725490196,,
171,From Human Trafficking to Human Rights: Reframing Contemporary Slavery,Print Book,173,Toward a Sustainable Theory of Human Trafficking and Contemporary Slavery,book_chapter,0.725490196,,
85,The History of Mexico,Print Book,99,Rethinking the History of Maoist China,book_chapter,0.72972973,,
109,The Evolution of Human Trafficking Messaging in the United States and Its Effect on Public Opinion,Article,109,Hidden in Plain Sight: Human Trafficking in the United States,article,0.732758621,,
37,Globalization and Poverty,Print Book,9,Globalization and Nationalist Subjectivities,book_chapter,0.733333333,,
143,Globalization and inequality,Article,191,Globalization and Collective Labor Rights,article,0.733333333,,
99,"Causes, Consequences, and Impact of the Great Leap Forward in China",Article,99,CENTRAL PLANNING LEGACIES: THE LINGERING EFFECTS OF THE GREAT LEAP FORWARD IN CHINA,article,0.733944954,,
137,"Sustainable Agriculture: Technology, Planning and Management",Ebook,137,Nanotechnology for Agriculture: Advances for Sustainable Agriculture,book,0.735632184,,
67,The Mark of Shame: Stigma of Mental Illness and Agenda for Change,Print Book,67,Resisting the Stigma of Mental Illness,article,0.736111111,,
4,The history of Myanmar,Print Book,99,Rethinking the History of Maoist China,book_chapter,0.736842105,,
117,Human Trafficking Is a Public Health Issue : a Paradigm Expansion in the United States,Print Book,109,Hidden in Plain Sight: Human Trafficking in the United States,article,0.738317757,,
27,The World since 1945 : a History of International Relations,Print Book,41,V International Relations/Relations Internationales,article,0.739130435,,
143,Globalization and inequality,Article,143,World class and new inequality (economic globalization and its results),article,0.739130435,,
177,Poland in the Twentieth Century,Print Book,203,Human Population Biology in the Second Half of the Twentieth Century,article,0.739130435,,
187,Globalization and its discontents,Print Book,143,INTRODUCTION: Globalization and Inequality,book_chapter,0.74,,
17,Oxford Encyclopedia of the Modern World,Ebook,127,Encyclopedia of the American Constitution,pbook,0.740740741,,
77,Gun Laws and Sudden Death: Do They Make Much Difference?,Article,77,GUN LAWS AND SUDDEN DEATH: Did the Australian Firearms Legislation of 1996 Make a Difference?,article,0.743119266,,
143,Globalization and inequality,Article,143,Globalization and Income Inequality: Evidence from BRICS Countries and Turkey,dissertation,0.743243243,,
65,The Politics of Gun Control,Print Book,59,The Politics of the Green New Deal,article,0.743589744,,
37,Globalization and Poverty,Print Book,9,Globalization and backlash: Polayni's revenge?,article,0.744680851,,
37,Globalization and Poverty,Print Book,143,Globalization and the decline of social reform,pbook,0.744680851,,
109,Responding to Human Trafficking. Responding to Human Trafficking,Ebook,8,The outrage of human trafficking,article,0.744680851,,
59,Energy and the English Industrial Revolution,Ebook,7,Workers in Canada’s Second Industrial Revolution,book_chapter,0.75,,
89,Bengal Industries and the British Industrial Revolution (1757-1857),Ebook,7,Fourth Industrial Revolution and India,book_chapter,0.75,,
143,Globalization and inequality,Article,9,Globalization and Nationalist Subjectivities,book_chapter,0.75,,
161,The Illicit Trade in Art and Antiquities: International Recovery and Criminal and Civil Liability,Print Book,161,The impact of the criminal law and money laundering measures upon the illicit trade in art and antiquities,article,0.751633987,,
7,The Industrial Revolution in the Anthropocene,Article,7,Workers in Canada’s Second Industrial Revolution,book_chapter,0.753846154,,
59,The Industrial Revolution in the Anthropocene,Article,7,Workers in Canada’s Second Industrial Revolution,book_chapter,0.753846154,,
7,The Industrial Revolution in the Anthropocene,Article,193,KaBloom!: Revolution in the flower industry,article,0.754098361,,
59,The Industrial Revolution in the Anthropocene,Article,193,KaBloom!: Revolution in the flower industry,article,0.754098361,,
109,Responding to Human Trafficking. Responding to Human Trafficking,Ebook,119,Christianity and Human Trafficking,article,0.755102041,,
109,Responding to Human Trafficking. Responding to Human Trafficking,Ebook,109,Human Trafficking of Children,article,0.755555556,,
189,PURSUING ‘PEACE’ IN ISRAEL/PALESTINE,Article,189,Nonviolence and Israel/Palestine,pbook,0.755555556,,
8,Sex trafficking of women and girls,Article,109,Human Trafficking of Children,article,0.756097561,,
14,International Red Cross,Reference Entry,41,V International Relations/Relations Internationales,article,0.756097561,,
27,The Iran-Iraq War: New International Perspectives,Ebook,77,"America, guns and freedom: Part II - An international perspective",article,0.756097561,,
67,The State of Homelessness in America,Ebook,149,The Ecology of Homelessness,article,0.756097561,,
145,"The Industrial Revolution in Europe, 1815-1914",Print Book,7,Workers in Canada’s Second Industrial Revolution,book_chapter,0.757575758,,
187,Globalization and its discontents,Print Book,9,Globalization Cycles,article,0.757575758,,
117,Human trafficking into and within the United States: a review of the literature,Ebook,109,Domestic Minor Sex Trafficking in the United States,article,0.757894737,,
117,Human trafficking into and within the United States: a review of the literature,Ebook,8,Domestic Minor Sex Trafficking in the United States,article,0.757894737,,
117,Human trafficking into and within the United States: a review of the Literature,Ebook,109,Domestic Minor Sex Trafficking in the United States,article,0.757894737,,
117,Human trafficking into and within the United States: a review of the Literature,Ebook,8,Domestic Minor Sex Trafficking in the United States,article,0.757894737,,
143,Globalization and inequality,Article,9,Globalization and backlash: Polayni's revenge?,article,0.76,,
143,Globalization and inequality,Article,143,Globalization and the decline of social reform,pbook,0.76,,
187,Globalization and its discontents,Print Book,191,Globalization and Collective Labor Rights,article,0.76,,
17,Oxford Encyclopedia of the Modern World,Ebook,15,Encyclopedia of bioethics,pbook,0.761904762,,
17,Oxford Encyclopedia of the Modern World,Ebook,15,Encyclopedia of bioethics,pbook,0.761904762,,
167,A History of Anti-Hispanic Bigotry in the United States,Newspaper Article,89,An indigenous peoples' history of the United States,pbook,0.763157895,,
25,Climate Change and the Law,Article,59,The media and climate change,article,0.764705882,,
115,"Colonial pathologies: American tropical medicine, race, and hygiene in the Philippines",Ebook,115,Immunization and Hygiene in the Colonial Philippines,article,0.764705882,,
27,The Iran-Iraq War: New International Perspectives,Ebook,77,Controlling the Environment to Prevent Suicide: International Perspectives,article,0.766666667,,
139,"Trade and economic development in Taiwan, Intereconomics",Article,81,When the Levee Breaks: Black Migration and Economic Development in the American South,article,0.766990291,,
163,Police Brutality in Urban Brazil,Print Book,11,Criminal Networks in Urban Brazil,article,0.76744186,,
25,History and Climate Change: a Eurocentric Perspective,Print Book,59,The media and climate change,article,0.767857143,,
25,"Place, Memory, and Climate Change",Article,25,The Final Conflict? Socialism and Climate Change,article,0.767857143,,
25,Climate Change and the Law,Article,5,Exploring the link between climate change and migration,article,0.767857143,,
25,Climate Change and the Law,Article,165,Climate change and gender equality in developing states,article,0.767857143,,
9,Globalisation and the nation in imperial Germany,Print Book,143,Globalisation and Inequality,article,0.769230769,,
37,Globalization and Poverty,Print Book,9,Globalization and English Language Policy in Turkey,article,0.769230769,,
37,Globalization and Poverty,Print Book,143,Globalization and inequality: Channels and evidence,dissertation,0.769230769,,
89,Bengal Industries and the British Industrial Revolution (1757-1857),Ebook,7,The de-industrial revolution,article,0.769230769,,
109,Responding to Human Trafficking. Responding to Human Trafficking,Ebook,119,From Human Trafficking to Human Rights: Reframing Contemporary Slavery,book,0.769230769,,
25,Climate Change and the Law,Article,5,THE NOMOS OF CLIMATE CHANGE AND THE SOCIOLOGICAL REFUGEE IN A SINKING CENTURY,article,0.77027027,,
89,Bengal Industries and the British Industrial Revolution (1757-1857),Ebook,7,From the industrial revolution to Trump,article,0.77027027,,
143,Globalization and inequality,Article,9,Behind the Curve: Globalization and International Terrorism,article,0.770491803,,
189,PURSUING ‘PEACE’ IN ISRAEL/PALESTINE,Article,189,UnHoly land : in search of hope in Israel/Palestine,book,0.770491803,,
109,Responding to Human Trafficking. Responding to Human Trafficking,Ebook,8,Anti-Human Trafficking Campaigns,article,0.770833333,,
91,"THE HOLOCAUST AS A PARADIGM FOR THE CONGO ATROCITIES: ADAM HOCHSCHILD'S ""KING LEOPOLD'S GHOST",Article,21,"King Leopold's ghost, by Adam Hochschild: review",article,0.771428571,,
77,Gun Control,Ebook,77,Against moderate gun control,article,0.772727273,,
77,Gun Control,Article,77,Against moderate gun control,article,0.772727273,,
119,Prostitution and Sex Work,Ebook,8,Unlinking Prostitution and Sex Trafficking: Response to Commentaries,article,0.772727273,,
25,Climate Change and the Law,Article,165,Urban Governance and the Politics of Climate change,article,0.773584906,,
187,Globalization and its discontents,Print Book,9,Globalization and Nationalist Subjectivities,book_chapter,0.773584906,,
171,Human Trafficking and Transnational Organized Crime: Implications for Security in Nigeria,Article,109,Human Trafficking Is More Than Sex Trafficking and Prostitution: Implications for Social Work,article,0.77443609,,
171,Human Trafficking and Transnational Organized Crime: Implications for Security in Nigeria,Article,8,Human Trafficking Is More Than Sex Trafficking and Prostitution: Implications for Social Work,article,0.77443609,,
117,Human Trafficking Is a Public Health Issue : a Paradigm Expansion in the United States,Print Book,109,Domestic Minor Sex Trafficking in the United States,article,0.774509804,,
117,Human Trafficking Is a Public Health Issue : a Paradigm Expansion in the United States,Print Book,8,Domestic Minor Sex Trafficking in the United States,article,0.774509804,,
109,Responding to Human Trafficking. Responding to Human Trafficking,Ebook,119,From Human Trafficking to Human Rights : Reframing Contemporary Slavery.,book,0.775,,
109,The Evolution of Human Trafficking Messaging in the United States and Its Effect on Public Opinion,Article,109,Domestic Minor Sex Trafficking in the United States,article,0.776785714,,
109,The Evolution of Human Trafficking Messaging in the United States and Its Effect on Public Opinion,Article,8,Domestic Minor Sex Trafficking in the United States,article,0.776785714,,
99,The Chinese Economy: Introduction,Article,111,Introduction,book_chapter,0.777777778,,
99,The Chinese Economy: Introduction,Article,111,Introduction,book_chapter,0.777777778,,
187,Globalization and its discontents,Print Book,143,Globalization and inequality: Channels and evidence,dissertation,0.779661017,,
13,Jammu and Kashmir (1947–Present),Ebook Chapter,209,Society and Politics of Jammu and Kashmir,book,0.78,,
73,Drinking Water Principles and Practices,Print Book,67,Principles and Concepts,book_chapter,0.780487805,,
85,The History of Mexico,Print Book,89,The Cambridge history of Islam,pbook,0.78125,,
109,Responding to Human Trafficking. Responding to Human Trafficking,Ebook,109,The Celebritization of Human Trafficking,article,0.781818182,,
143,Globalization and inequality,Article,9,Globalization and English Language Policy in Turkey,article,0.781818182,,
187,Globalization and its discontents,Print Book,9,Globalization and backlash: Polayni's revenge?,article,0.781818182,,
187,Globalization and its discontents,Print Book,143,Globalization and the decline of social reform,pbook,0.781818182,,
25,Climate Change and the Law,Article,25,Conceptualising climate change archaeology,article,0.782608696,,
25,Climate Change and the Law,Article,59,Conceptualising climate change archaeology,article,0.782608696,,
103,Prematurely Knowing Of Evil Things’: The Sexual Abuse Of African American Girls And Young Women In Slavery And Freedom,Article,81,Self-Taught: African American Education in Slavery and Freedom,book,0.782608696,,
109,The Evolution of Human Trafficking Messaging in the United States and Its Effect on Public Opinion,Article,117,Newspaper Headlines on Human Trafficking in the United States from 2000 to 2010: A Pilot Study,dissertation,0.783783784,,
103,Prematurely Knowing Of Evil Things’: The Sexual Abuse Of African American Girls And Young Women In Slavery And Freedom,Article,81,Self-taught : African American education in slavery and freedom,pbook,0.784172662,,
27,The Iran-Iraq War: New International Perspectives,Ebook,207,Indonesian Economic Decolonization in Regional and International Perspective,book,0.784946237,,
15,Birth Control in Japan: Realities and Prognosis,Article,15,"Birth Control In Japan: National Policy Purposes, Methods & Results",article,0.785714286,,
21,Collective Victimization and Subjectivity in the Democratic Republic of Congo: Why Do Lasting Peace and Justice Remain Elusive?,Article,91,Ebola Virus Disease in the Democratic Republic of Congo,article,0.785714286,,
25,Climate Change and the Law,Article,25,"Game, Not Fight: Change Climate Change",article,0.785714286,,
189,The Second Intifada - Introduction,Article,111,Introduction,book_chapter,0.785714286,,
189,The Second Intifada - Introduction,Article,111,Introduction,book_chapter,0.785714286,,
4,The history of Myanmar,Print Book,89,The Cambridge history of Islam,pbook,0.787878788,,
10,The National Health Service: History of the National Health Service from Conception to Latest Changes,Ebook Chapter,10,Britain's Search for Health: The First Decade of the National Health Service,book,0.788135593,,
159,The Kashmir Conflict and Human Rights,Article,117,TRAFFICKING IN HUMANS AND HUMAN RIGHTS,book_chapter,0.788461538,,
25,"Place, Memory, and Climate Change",Article,165,"Introduction: Sustainable Development, Energy, and Climate Change",article,0.788732394,,
37,Globalization and Poverty,Print Book,9,Globalization and the Renewal of Asian Business Networks,article,0.789473684,,
117,Human trafficking into and within the United States: a review of the literature,Ebook,117,Newspaper Headlines on Human Trafficking in the United States from 2000 to 2010: A Pilot Study,dissertation,0.789473684,,
117,Human trafficking into and within the United States: a review of the Literature,Ebook,117,Newspaper Headlines on Human Trafficking in the United States from 2000 to 2010: A Pilot Study,dissertation,0.789473684,,
143,Globalization and inequality,Article,143,"The Debate on Globalization, Poverty and Inequality: Why Measurement Matters",article,0.789473684,,
187,Globalization and its discontents,Print Book,143,World class and new inequality (economic globalization and its results),article,0.789473684,,
137,"Sustainable Agriculture: Technology, Planning and Management",Ebook,193,Efficacy of Green Urea for Sustainable Agriculture,book_chapter,0.790123457,,
171,From Human Trafficking to Human Rights: Reframing Contemporary Slavery,Print Book,171,CONTEMPORARY SLAVERY FORMS AND HUMAN – TRAFFICKING IN THE 21ST CENTURY,article,0.79047619,,
171,From Human Trafficking to Human Rights: Reframing Contemporary Slavery,Print Book,173,CONTEMPORARY SLAVERY FORMS AND HUMAN – TRAFFICKING IN THE 21ST CENTURY,article,0.79047619,,
8,Sex trafficking of women and girls,Article,109,Domestic Minor Sex Trafficking,article,0.790697674,,
117,Human trafficking into and within the United States: a review of the literature,Ebook,109,Sexual Trafficking in the United States: A Domestic Problem with Transnational Dimensions,article,0.790697674,,
117,Human trafficking into and within the United States: a review of the Literature,Ebook,109,Sexual Trafficking in the United States: A Domestic Problem with Transnational Dimensions,article,0.790697674,,
27,The Iran-Iraq War: New International Perspectives,Ebook,183,"Housing Policy, (De)segregation and Social Mixing: An International Perspective",article,0.791666667,,
115,Agents of Apocalypse,Review,97,Sowing for Apocalypse,article,0.791666667,,
167,A History of Anti-Hispanic Bigotry in the United States,Newspaper Article,37,Leisure Inequality in the United States: 1965—2003,article,0.792207792,,
37,Globalization and Poverty,Print Book,203,Globalization and the Rise of Mass Education—Introduction,book_chapter,0.793103448,,
83,Pandemic Influenza's 500th Anniversary,Article,175,The Open-Air Treatment of PANDEMIC INFLUENZA,article,0.793103448,,
143,Globalization and inequality,Article,143,"Globalization, Inequality & International Economic Law",article,0.793103448,,
5,Climate Change in Human History,Print Book,59,The media and climate change,article,0.794871795,,
89,Identifying the Woes of the Cotton Textile Industry in Bengal: Tales of the Nineteenth Century,Article,7,American labor songs of the nineteenth century,score,0.796116505,,
5,Climate Change in Human History,Print Book,165,Adaptation to climate change in the developing world,article,0.796610169,,
143,Globalization and inequality,Article,143,A Perfect Crime: Inequality in the Age of Globalization,article,0.796610169,,
117,Human Trafficking Is a Public Health Issue : a Paradigm Expansion in the United States,Print Book,171,The evolution of human trafficking messaging in the United States and its effect on public opinion,article,0.797202797,,
117,Human Trafficking Is a Public Health Issue : a Paradigm Expansion in the United States,Print Book,173,The evolution of human trafficking messaging in the United States and its effect on public opinion,article,0.797202797,,
